Text,Classification,Length
Failure of contractor to implement heat management procedures in remote desert area resulted in several reports of heat stress in members of the seismic crew.,HiPo Incident,158
"After take off from a drilling barge in Lake Maracaibo, a  helicopter (Bell Jet Ranger, model YV-333) precipitated to the lake, resulting in a nurse's fatality",Fatal Incident,159
"The deceased lost control of his vehicle. The vehicle hit a crash barrier and the deceased, who was not wearing a seat belt, was thrown through the windscreen.",Fatal Incident,159
"The deceased was  climbing the derrick ladder to reach the monkey board, suddenly he lost balance and fell down. The rig was being used in workover activities.",Fatal Incident,159
"The deceased was hit and pinned with a mooring cable during barge mooring operations. He sustained a broken leg, fractured skull and massive internal injuries.",Fatal Incident,159
"When lighting a flare a gas accumulation ignited, reaching four workers in the location area.  This accident resulted from violation of operational procedures.",Fatal Incident,159
"During routine perforating activities, loss of control through procedural failure resulted in a blow out.  No ignition occurred and no injuries were sustained.",HiPo Incident,159
Flexible coupling on charge pump failed during milling operations discharging 115 barrels of oil based mud into the lower pump room. No injuries were reported.,HiPo Incident,159
The injured person broke his arm and backbones when the vehicle he was driving rolled over. He had been testing radio reception and looking at the watt meter. ,HiPo Incident,159
"When pressuring up a pig receiver (after the removal of pigs and closing of the door), the door opened unexpectedly, hitting the victim in the lower belly area.",Fatal Incident,160
While the operator was working on the platform he fell in the Lake and died by drowning.  The accident occurred as a result of a violation of safety procedures.,Fatal Incident,160
Worker who was not authorised to drive lost control of vehicle.  Vehicle rolled over resulting in the death of the driver and serious injuries to the passenger.,Fatal Incident,160
"10 3/4"" casing fell off the catwalk machine when it was running up to the drilling deck. Weight: 1.1 tonnes. Length: 12 metres. The section fell down 12 metres.",HiPo Incident,160
A contractor was caught between a falling section of the standpipe and the rig ladder. He was hospitalised with 3 fractured ribs and a partially collapsed lung.,HiPo Incident,160
A subcontractor employee tripped and fell approximately 4.5 meters from an incomplete scaffolding platform. The injured person suffered a fracture to the skull.,HiPo Incident,160
A workshop technician was checking the free rotation of a shaft using a scaffolding pipe when the pipe slipped from the bolts and hit the technician's forehead.,HiPo Incident,160
"No fall arrest equipment were used during transfer of two people from a cherry picker basket and onto a block, which was tilted in vertical and horizontal axis.",HiPo Incident,160
Operator sustained hand injuries whilst assisting Maintenance personnel install a 24-inch diameter spiral wound gasket. Injury resulted in 49 days of Lost Time.,HiPo Incident,160
"Supply vessel collided with the Drillship while working alongside discharging cargo, resulting in visual, but minor damage to the Stbd Aft corner of the vessel.",HiPo Incident,160
The company's carpenter supervisor was driving a vehicle at night when he encountered an uneven road. He lost control of his vehicle and skidded into the ditch.,HiPo Incident,160
Uncontrolled release of lubricating oil caused a fire at a platform. There were no injuries.  The fire however damaged one of two turbine driven generator sets.,HiPo Incident,160
A contractor vessel collided with a third party speedboat resulting in the drowning of 1 contractor and 2 third parties. None of the 3 were wearing life jackets.,Fatal Incident,161
A contractor was unloading hot condensate from storage tanks to a vac truck when the hose connection came off and sprayed hot condensate on the contractor's leg.,HiPo Incident,161
A helper received slight injury while he jumped from the tractor trolley while the tractor trolley got tilted in front of MPT main gate due to mechanical damage.,HiPo Incident,161
A steel chain holder box from a chain hoist fell from height onto a work platform. There were no personnel on the platform at the time and therefore no injuries.,HiPo Incident,161
"An important gas release has been observed at the exit of gas heat exchanger E3940 (70 bar), which was feeding a unit after fracturing of a 3/4' gauge conection.",HiPo Incident,161
Mechanics were working on a fire water pump when suddenly an overhead isolation valve wheel chain assembly fell down and hit the adjacent pump discharger area.  ,HiPo Incident,161
"While loading a rack of gas bottles on to a boat, the boat landing pontoon capsized and two contractor workers jumped into the water. They were retrieved safely.",HiPo Incident,161
A worker was descending from the barge 3957 when he fell in the Lake and died by drowning.  The accident occurred as a result of a violation of safety procedures.,Fatal Incident,162
"During the installation of pipe in a ditch approx 3 metres deep and 1.5 metres wide, one of the walls of the ditch collapsed, fatally crushing one of the workers.",Fatal Incident,162
the deceased were killed by a flash which occurred while connecting the tubing and casing to improve the oil well surface connections in an oil well installation.,Fatal Incident,162
3 company electrical engineers involved in an incident where a single vehicle rolled over.  They were sent to hospital for treatment and were given days off work.,HiPo Incident,162
A pipefitter was cutting into a brine loading line.  On cutting through the pipe liquid squirted into his face.  He pulled back and cut his knee with the grinder.,HiPo Incident,162
"A small gas leakage occurred from a grease nipple on a wing valve on the wellhead. No detection, visual observation. Manual NAS, staff mustered according to plan.",HiPo Incident,162
"Due to sudden adverse weather condition (poor visibility) the chopper flying to an offshore platform was cancelled, leaving 20 personnel stranded on the platform.",HiPo Incident,162
The right side of the plate clamp slipped from the plate and hit the hard barricade during crane's changing position from concave to convex. No injuries reported.,HiPo Incident,162
"First engineer electrocuted while using portable electrical vacuum pump.  Immediate cause was an incorrectly wired extension lead, which made the pump casing live.",Fatal Incident,163
A furnace failure resulted in a flash fire.  An operator on an access ladder was caught in the fire and sustained first and second degree burns to 16% of his body.,HiPo Incident,163
"A lump of lube oil  fell from the crane tip to the deck, 4 metres from the MOB boat. Height: 25 metres, weight: 0,7 kg. There were 2 personnel inside the MOB boat.",HiPo Incident,163
An assistant driller was struck by the rotating tong jaws causing injuries to his upper arms whilst changing the hydraulic tong without isolating the power source.,HiPo Incident,163
During airless cleaning in the drilling rig the hook from the wier came loose. The worker could have fallen down 17-19 metres. He managed to fasten the hook again.,HiPo Incident,163
"Gas was detected in the shaker room in the drilling module, 1x20% LEL og 1x60% LEL. Production was shut down. The wells were closed and the situation investigated.",HiPo Incident,163
"Severe corrosion of 32"" gas export line found underneath passive fire protection. Production was reduced and a temporary repair executed. Permanent repair in 2010.",HiPo Incident,163
"When the victim jumped down from the transformer tank at a height of 3 feet after removing the final bolt attaching to the tank, he sprained his ankle. (LWD 1 day)",HiPo Incident,163
The two victims performed maintenance work on a lifeboat.  the lifeboat was unintentionally released and crashed into the sea thirty meters below the lifeboat deck.,Fatal Incident,164
"A FHSE Coordinator noticed, while conducting area rounds, that one worker was inside an acid gas removal unit without a contractor HSE Officer or Holewatch present.",HiPo Incident,164
"While lifting the drill string off the slips with the DP elevators, three back up dies out of the TDS pipe handler fell to the rig floor. No injuries were reported.",HiPo Incident,164
A Contractor Maintenance man was going to do maintenance work on the level transmitter of the reflux drum of a deethaniser column (cleaning up the line by methanol).,HiPo Incident,165
"A fire occurred at the intermediate mud tank on the drilling site due to the overheating of the belts of the centrifugal pump, located by mistake on top of the tank.",HiPo Incident,165
During commissioning of fuel gas - they pressure balanced without using the procedure for pressure balance. The flange was not tight. There were no personell nearby.,HiPo Incident,165
Lifting of sea assembly: During lifting of equipment for seal assembly a person was crushed between the equipment and casing. The weight of the equipment was 750 kg.,HiPo Incident,165
"Two helicopters, carrying 11 and 10 persons respectively, were on collision course. Avoiding action was taken and they missed each other by approximately 100 metres.",HiPo Incident,165
"While taking a left turn, the trailor met with an accident. The road conditions were muddy and slushy because of recent rains and the trailer skidded and overturned.",HiPo Incident,165
Contractor pick-up collided with 3rd party saloon car.  The car driver died on the spot whilst the pick-up driver sustained minor injuries.  There were no passengers.,Fatal Incident,166
Contractor pick-up truck transporting twelve members of a well service crew overturned several times rolling down a 25 metre embankment and resulting in one fatality.,Fatal Incident,166
Two contractor employees and one company employee were fatally injured when a life boat was involved in a fire while servicing an oil well off the coast of Louisiana.,Fatal Incident,166
"A pedestrian walked in front of the vehicle - the driver applied the brakes and turned away from the pedestrian, which eventually resulted in the vehicle overturning.",HiPo Incident,166
"A worker fell from height whilst working off a beam, resulting in a broken left tibia and dislocated left elbow. This incident has has resulted in a Lost Time Injury.",HiPo Incident,166
After starting up oil production after a shut down a stuffing box on a valve was leaking and caused a NAS 1.2. The personnel mustered according to the emergency plan.,HiPo Incident,166
Helicopter (S-76C) experienced loss of power from #2 engine (right hand engine) shortly after take-off and returned to heliport using one engine inoperative approach.,HiPo Incident,166
The platform crane was being lowered when the auxillary hook struck the jib head block causing the auxillary hook line to break. The block fell 20 metres to the deck.,HiPo Incident,166
The well on the platform dropped approx. 50cm when unlatching coiled tubing ijector from riser. The incident caused a total shut down of the platform for three weeks.,HiPo Incident,166
Vehicle under contract to the Company was returning to the highway to head back to base when the vehicle was struck by an 18 wheeler. A first aid injury was reported.,HiPo Incident,166
"When manoeuvering a crane, a 6"" recycle valve on a gas pipeline of CRU c-101 &amp; c-102 Compressor stage 2 and 3 was accidentally disconnected and caused a gasleak. ",HiPo Incident,166
A 4x4 Toyota Land Cruiser Station wagon containing three employees flipped onto its passenger (right) side.  Each occupant was wearing a seatbelt.  No one was injured.,HiPo Incident,167
A contractor worker was tripping a drill pipe when his arm was caught between an elevator and a drill pipe.  He was sent to hospital and was given a few days off work.,HiPo Incident,167
A metal sheet (4kgs) fell on a contractor when it slipped from a hook while being lifted during roofing installation. The fitter suffered a minor abrasion to his back.,HiPo Incident,167
A pressurized air hose has been disconnected while hot bolting in progress of MR vapour line check valve due to loosing of one hose joint which was not tightened well.,HiPo Incident,167
Catastrophic failure of gas compressor turbine during operation. Significant damage to equipment and enclosure. Reduced gas export potential. No injuries to personnel.,HiPo Incident,167
Personnel were found using plain rope to lower the big beams from AGR Amine Absorber instead of using crane or certified lifting equipment as per Task Risk Assessment.,HiPo Incident,167
"Two employees were assembling a metallic structure in a high voltage area. When raising a tape measure, they suffered an electric discharge, resulting in severe burns.",HiPo Incident,167
When the victim sprained his ankle when he jumped down from the transformer tank at a height of 3 feet after removing the final bolt attaching to the tank. (LWD 1 day),HiPo Incident,167
A guyed 39 metre tall communication tower failed and collapsed while 2 contractor employees were working at the top of the tower to dismantle the communication antenna.,Fatal Incident,168
"At the time of the thunderstorm, two policemen were inside a shelter in the surroundings of Cusiana 2A (LTT).  An indirect lightning strike killed one of the policemen.",Fatal Incident,168
2 gas dectors detected a leak in the process area. The personell mustering went according to plan. A gasket between the transmitter and pressure metering had blown out.,HiPo Incident,168
A contract worker suffered partial amputation of his right index and middle fingers when they were trapped between an outer and inner mast of a pallet stacking machine.,HiPo Incident,168
"At 15:55hrs on one Offshore Platform, an alarm both audible and flashing was detected on the Fire and Gas panel in the control room, identifying •À_•À_Fire on Pump Deck•À_•À_. ",HiPo Incident,168
"Injured Person was assisting the HV Tech by conducting Point to Point testing. While conducting the testing, he sustained an electrical shock of approximately 220Volts.",HiPo Incident,168
"Newly installed flowline spool piece had parted on a wellhead area, activating gas detectors, initiating an Emergency Shut Down. 828 kg of hydrocarbon gas was released.",HiPo Incident,168
"The victim fell to the ground from a height of 1.8 metres when he was going down a stepladder. One leg of the stepladder had collapsed, causing him to fall. (LWD 1 day)",HiPo Incident,168
Unsecured grating weighing approx 15 kg fell from the dome roof of the firewater tank where construction work was in progress to an area below that was not cordoned off,HiPo Incident,168
A rig was moved by a crane in order to place it at the well location.  The rig caught one high power line (13.4 kv.) causing the death of the operator who was moving it.,Fatal Incident,169
A supervisor was struck by a flange which was ejected under 1200 pounds of pressure.  This accident occurred when a pipeline was hydrostatically tested in a gas station.,Fatal Incident,169
"Contract engineer was driving to production area when gunfire shots were fired at his vehicle, fatally wounding him and causing the vehicle to crash. Terrorist activity.",Fatal Incident,169
"Sabotage caused substantial oil leakage.  During the spill containment, oil was ignited, likely by a diesel-driven pump unit, and two contractors died in resulting fire.",Fatal Incident,169
The Crane Driver had been assisting with routine deck operations supporting a team of contractors to move the workover unit. It was being skidded from the North well bay,HiPo Incident,169
"To check the level in a portable offshore container, an operator had to climb into an exposed position with no protection against falling from the platform into the sea.",HiPo Incident,169
"When the injured person was leaning over the railing, trying to attach the winch, the monkeytail hit the person on his back and hips and crushed him against the railing.",HiPo Incident,169
The lifting head and vertical boom assemblies of a Marco Monobeam automated pipe rack system fell from the derrick and struck a floorman resulting in his immediate death.,Fatal Incident,170
"Activists shot at helicopter whilst take off from drilling SP location on seismic line; four persons injured •À__one seriously (150 days incapacity); 4 LWDC, 181 lost days.",HiPo Incident,170
An electrician received minor burns to his hand while repairing the cable attachment. An unknown person had engaged the switch and caused the wires to spark. (LWD 2 days),HiPo Incident,170
"At 12:07 hours of June 26, 12, a full 500ml plastic water bottle was dropped to the rig floor from the monkey board. No personnel were within 2 meters of the impact area.",HiPo Incident,170
"The injured employee (IE) was descending stairs in the office, when the IE slipped or tripped and fell down the stairs to the landing. IE hit their head on the landing.  ",HiPo Incident,170
"When the helicopter was approaching the helideck, the drilling crane operator raised the crane boom.  Potential existed for severe or fatal injury to one or both persons.",HiPo Incident,170
"While lifting some construction beams, a lifting rope pick-up hook became entangled and swung hitting the Contractor worker's face.  The was medivaced and given time off.",HiPo Incident,170
A Bell helicopter crashed into the Java Sea killing the pilot and 3 passengers. The cause appears to be a single equipment failure of the transmission mount pylon spindle.,Fatal Incident,171
"Transporting company employees to Jose Terminal, the Chevrolet Suzuky drove by a contractor employee crashed against to an electrical post. The driver died in this event. ",Fatal Incident,171
"Walking on the roof of a testing production tank, in order to measure its level, an operator fell into the tank through a manhole which cap failed under the worker weight ",Fatal Incident,171
A fire broke out in a compressor due to oil overheating. It took one hour to extinguish the fire which damaged two compressors and adjacent cable ways. Nobody was injured.,HiPo Incident,171
A pipe fitter injured his left hand and finger when he accidentally grasped the rotating drill bit of a pneumatic drill while attempting to prevent the drill from falling.,HiPo Incident,171
"A plate fell from a trally which was parked and was fastened onto the hand rail, The weight of the plate was 2 kg and the plate fell down 15 metres. One person was nearby.",HiPo Incident,171
"A portion of the helideck net at STD platform weighing 50 kgs fell down by 8 meters to the main deck, due to impact from the crane boom, while the crane boom was swinging.",HiPo Incident,171
Company vehicle collided with a 3rd party vehicle on the highway causing a fatal injury to the driver of the 3rd party vehicle. The company driver escaped grievous injury.,HiPo Incident,171
During deployment of ice management equipment including a buoy system a member of the crew was struck by a fender buoy breaking his ankle and dragging him across the deck.,HiPo Incident,171
The coupling between an air hose and an air-operated drill split when the pressure was turned on. The injured person was struck by the air pressure in the face and throat.,HiPo Incident,171
A shovel overturned during the construction of a rain water  channel. The shovel operator died  when he was caught betwen the heavy equipment and the bottom of the channel ,Fatal Incident,172
"Victim jumped from a storey building office and landed on a sharp object which cut his leg, when armed robbers invaded Warri office.  Died of cardiac arrest due to tetanus.",Fatal Incident,172
A contractor employee hit an 11KV overhead line feeding to gathering center by a tripper truck while passing under the overhead cables. No injuries but power tripped to GC.,HiPo Incident,172
"A drain line on a compressor pulsation damper drum failed, which resulted in a release of hydrocarbon vapour. The release was isolated locally. No injuries or asset damage.",HiPo Incident,172
Approx 4-5km from the pipeyard the truck encountered a road vehicle overtaking dangerously which in turn caused the truck driver to take evasive action and brake severely. ,HiPo Incident,172
"Falling object: A transportable gas holder fell down to the deck below. No personell were nearby. The distance to the walkway was 5 metres. Height: 9 metres, weight: 13 kg.",HiPo Incident,172
The injured sustained a cut on his forefinger when a piece of steel was dropped on it. The injured and another person had been lowering the steel to the ground. (LWD 1 day),HiPo Incident,172
A man died whilst diving.  It was noticed that there were no air bubbles coming from this scuba gear and when the body was recovered he was dead.                            ,Fatal Incident,173
"While changing a bulb lamp in an electrical sub-station, the worker received an electrical shock which caused his death.  This accident happened by violation of safety rule.",Fatal Incident,173
Front passenger side wheel of Toyota station wagon became detached from the front axle. The vehicle was travelling at 10kph. The vehicle had just returned from maintenance. ,HiPo Incident,173
"While using a grinding machine on the top of vent tower, a spark ignited the gas leaking from the isolation valve.  The fire was put out by the use of fire monitors on deck.",HiPo Incident,173
"A minor LNG leak reported at the battery limit of Train 2 from the 40"" RDL valve's upstream and downstream flanges. Less than 0.1 kg/sec release rate for less than 2 minutes.",HiPo Incident,174
A Truck slipped down a steep embankment by the side of the road while negotiating a narrow passage developed due to breakdown of another trailer on the middle of a road slope,HiPo Incident,174
"During dismounting of a heat exchanger a blind flange weighing more than three tonnes dropped 50 cm upon a scaffold, damaging the scaffolding structure. No injuries to staff.",HiPo Incident,174
"While blowing down a sand trap, there was a surge in pressure which caused threaded piping to pull loose.  The piping hit the injured person throwing him back approx 40 feet.",HiPo Incident,174
Contractor died after being struck by a falling casing joint which rolled from the pipe rack.  The design and construction of the pipe rack was found to be the primary factor.,Fatal Incident,175
"Contractor lost control of vehicle, causing it to crash through barrier leading to the vehicle ferry.  He was unable to free himself from the vehicle and drowned in the river.",Fatal Incident,175
A 2.5 kg pipe shoe stopper was observed lying on the ground between columns 18 and 19. It is suspected to have fallen from Condensate water line pipe at a height of 20 metres.,HiPo Incident,175
A beam clamp chain hoist weighing approximately 85 pounds fell thirty feet to the deck floor. A first aid injury from the falling chain sustained by a technician was reported.,HiPo Incident,175
An onshore construction worker was injured when he accidentally bumped into a 4 inch pipe.  The pipe fell from the angle bars bracing and struck the injured person in the leg.,HiPo Incident,175
"At 23:15 hours the driller experienced an uncontrolled descent of the drillstring, travelling block and Top Drive Drilling System (TDS) which came to rest on the rotary table.",HiPo Incident,175
Blowout on swamp barge rig. Ignition two hours later. No injuires; little pollution (gas well); main cause was the bypass of the shear rams by the upper and lower choke lines.,HiPo Incident,175
"During work on the BOP deck a hammer dropped to the wellhead deck, all barriers where in place, there were no employees within the area of the drop and of no danger to anyone.",HiPo Incident,175
A 30-seater bus was returning from Calabar on official business and was involved in a collision with a pedestrian. The pedestrian received fatal injuries and died at the scene.,Fatal Incident,176
"Employee of contracting drilling team drove a vehicle from the job site.  At an ascending road the vehicle got in trouble, rolled backwards, turned over and crushed the driver.",Fatal Incident,176
Tyre failure caused the vehicle to veer off the road and to subsequently roll over. The deceased received fatal head injuries when the vehicle cab was crushed during roll over.,Fatal Incident,176
"While oil was being transferred by a diesel pump into trucks, gas evolved and was ignited by the pump exhaust causing a flash fire.  Worker handling pump was covered by flames.",Fatal Incident,176
A worker stepped in between a moving forklift and a 400 bbl tank.  He was wedged in between and fractured his collar bone.  He was sent to hospital and was given time off work.,HiPo Incident,176
Charter aircraft struck a flock of birds at 3000ft shortly after take-off.  As a result it sustained fan blade and turbine damage to one of the engines and returned to airport.,HiPo Incident,176
Modifications made to scaffolding: U Heads were connected to access scaffolds to support formwork on 11m high scaffolding when conducting form erection and bolt alignment work.,HiPo Incident,176
One person was electrocuted while he was working with a coupling bar. He used a measuring device. The measuring device indicate 0 deflection - it should have indicate 24 volt. ,HiPo Incident,176
Contractor was attacked and killed by one of his co-workers.  There were 10 personnel onboard the platform at the time of the incident (including the attacker and the deceased).,Fatal Incident,177
Employee of contracting well work intended to install a guy wire of rig.  When he was positioning the wire it touched an overhead 13.8 KV power line and electrocuted the victim.,Fatal Incident,177
Mitsubishi Montero 4x4 vehicle with driver &amp; 2 passengers caused to swerve off width restricted gravel road by oncoming truck into 40m deep ravine. Rear seat passenger died.,Fatal Incident,177
While changing an insulator from an electric tower an electrician carelessly made contact with one of the energized circuits and received an electric discharge which killed him.,Fatal Incident,177
"After loading the Scaffoldings material to the Canter (truck). Driver took a sharp turn to move out, He hit the scaffolder nearby standing with the cycle. The cycle was damaged.",HiPo Incident,177
The assistant driller was attaching the bridle line thimble with Gin pole with the help of a pipe wrench. He was leaning forward and lost his balance and fell down about 6 feet.,HiPo Incident,177
A gas leak occurred from an Oxy- Acetylene torch leaking hose and resulted into a small fire when the gas came into contact with the sparks generated from adjacent grinding work.,HiPo Incident,178
"The boom of a trackhoe, being transported on the back of a lowboy, came into contact with a railway bridge overpass causing significant damage to one of four bridge span I-beams.",HiPo Incident,178
The operator caught his ring finger of left hand between pipe and handrail. The laceration was cleaned and dressed and the contractor was transported to nearest medical facility.,HiPo Incident,178
"When a barge was being towed in lake Maracaibo a sailor was struck by a rope, which suddenly loose, causing his fall on the barge deck, hitting his head, dying by cranial fracture",Fatal Incident,179
A contractor caught his elbow in a cement mixer causing a deep lateral wound to the right elbow area. He was sent to hospital for treatment and returned to work three weeks later.,HiPo Incident,179
"At 1330 hours on 26 July 2009,a team of 7 men were assigned to spool the drill line at derrick which was in horizontal position resting on head stand as part of rig up operation. ",HiPo Incident,179
Two seamen were injured when struck by a mooring rope on a supply vessel while casting off from a drilling rig. One sailor suffered a fractured arm and the second a fractured hip.,HiPo Incident,179
"When drilling, a very high pressure layer was encountered. During the well control situation the casing failed and a leak occurred from the cellar. This well was abandoned safely.",HiPo Incident,179
Local youths climbed onto low-bed trailer.  Whilst travelling over an uneven road surface the vehicle's ramp fell open and the security chain snapped.  One youth fell off and died.,Fatal Incident,180
The incident occurred on an FPSO. The IP opened the observation tank•À_•À_s inspection hatch and was drenched in hot water. This resulted in the IP sustaining extensive scalding/burns.,Fatal Incident,180
"A ~0.9 lb bolt failed in the top drive dolly track alignment flange and fell approximately 145 ft to the rig floor, coming to rest about 2 ft outside the drill floor red zone area.",HiPo Incident,180
"A degasser fell onto a worker who was disassembling it, causing injuries to the worker that resulted in permanent disability. No proper operational procedure existed for this task.",HiPo Incident,180
A security guard was bitten on the hand by a Scorpion. He was treated with pain killers and kept under observation to ensure no allergic reaction had occured. Not life threatening.,HiPo Incident,180
At about 1.30 am a major fire incident occurred at the living camp.  The incident was found to be caused by a substandard electrical wiring system.  Three rooms were badly damaged.,HiPo Incident,180
"During bottom hole assembly (BHA) handling operations the near perpendicular BHA dropped from the elevators as a result of the Lifting Nubbin slipping through the 65/8"" Elevator.  ",HiPo Incident,180
During climbing up the ladder the worker of the contractor company fell down and got minor injuries. HSE representative of the company immediately on site took preventive measures.,HiPo Incident,180
"During maintenance work on top of the walkway roof, a contractor fell approximately 12 feet while descending.  The incident resulted in the person being unfit for work for 20 days.",HiPo Incident,180
Several  fingers were broken and a deep cut sustained between two fingers when the injured person's finger was crushed while working with riser equipment . He was sent to hospital.,HiPo Incident,180
"While working on live electrical equipment on a water pumping rig, a shortcircuit occurred when a tool fell down onto the equipment. The resulting electric arc injured two workers.",HiPo Incident,180
"Diver was cutting 30"" * 1"" drive pipe to complete P&amp;A of well at Eugene Island 315A. Depth was 275 feet. Explosion occurred at stub and knocked diver unconscious and he drowned.",Fatal Incident,181
The driver lost control of the vehicle and it overturned. The driver was not wearing a seat belt and was thrown from the vehicle. Excessive speed was probably a contributory factor.,Fatal Incident,181
A contractor driver lost control of his vehicle and rolled over 3 times before coming to a stop.  He was flown to the hospital with a severe head wound.  He was off work for 7 days.,HiPo Incident,181
A contractor electrical engineer was responding to a power outage in the area when he was involved in an accident where a single vehicle rolled over.  He was given 30 days off work.,HiPo Incident,181
"One person was washing clothes at a hand basin, another one was using the toilet. A fire occured on the hand basin and extended to the toilet. It caused burn injuries to two people.",HiPo Incident,181
A chain saw operator was hit by a falling tree which fell in an unpredicted direction.  The tree was 300 mm dia and 25 m high and entwined with another tree 250 mm dia and 24 m high.,Fatal Incident,182
A 4x2 metre flat bottomed punt used by the Oil Spill Response Team sank while deploying 3 new buoys along the export line in the river where the shipping lane meets the export line. ,HiPo Incident,182
"In extreme weather conditions, a truck swerved to miss 2 large deer on the road causing vehicle to run into a ditch and scrape up against trees.  Passenger side of truck was damaged.",HiPo Incident,182
"While removing a gas plug from the crude transfer line, a small amount of accumulated oil and gas gushed and caused a flash fire due to a flood light being not being explosive-proof.",HiPo Incident,182
A roustabout stepped onto a loose grating which covered access to a mixing tank.  He landed in 1m of drilling fluid and was fatally injured by the impact of the rotating paddle mixer.,Fatal Incident,183
"A truck, whilst reversing, hit the victim who was working on the installation of a shelter structure, against a valve nipple on the manifold.  The impact resulted in a fatal injury.  ",Fatal Incident,183
A contractor left exposed wires unprotected at the end of the day's work.  Another contractor energised wires while working in the dark.  Potential existed for electrocution and fire.,HiPo Incident,183
"A contractor rig chargehand was hanging a power tong when he slipped on the floor, bruising his elbow.  He received treatment at the site clinic and was off work for a couple of days.",HiPo Incident,183
The rig floor gave way and the individual fell six feet and the floor grating fell on top of him.  The  contractor was hospitalised for one night for surgery to repair jaw and pallet.,HiPo Incident,183
"When the Electrician Supv was inspecting the air condition motor and moved the belt of the motor, his right hand ring finger was pinched caused an open wound and fracture. (LTA 1 day)",HiPo Incident,183
"While shifting a 4 inch, 12 ft. long steel pipe placed on 2 A - frame supports for wrapping, the pipe fell on the left foot of the worker causing injury. 7 days' medical rest advised.",HiPo Incident,183
"A crew of contractor workers were opening a trench to make cathodic protection improvements on a gas pipeline, when the pipeline suddenly failed, releasing a significant amount of gas.",Fatal Incident,184
A Sudanese driver was travelling back from work in the Muglad area when he lost control of the vehicle and rolled.  He sustained severe head trauma and died on the way to the hospital.,Fatal Incident,184
"The engine room water-tight door swung open and struck victim, causing him to strike his back on the handrail.  Although he was OK at first, he collapsed later &amp; stopped breathing.",Fatal Incident,184
A 4wd car was travelling eastwards when it had a puncture in one tire after passing a bend. The driver lost control of the vehicle and as a result the vehicle left the road and rolled.,HiPo Incident,184
A Drilling Operator employee was disabled in connection with a accident while drilling a  well. Four fingers on his left hand were injured and three of the finger tips were amputated. ,HiPo Incident,184
Crane rope connector failed during maintenance activity. Thirty five metres of 35 mm crane rope fell approximately 35 - 50 metres to the galley landing area. No injuries were reported.,HiPo Incident,184
During construction activities a piece of steel weighing approximately 1.5 kgs fell approximately 16 meters from a platform to the ground. The object landed 2 meters from a work group.,HiPo Incident,184
When an excavator operator was trying to release a faulty (malfunction) spring lever of a trailer ramp suddenly the lever released and hit his face causing him serious facial injuries.,HiPo Incident,184
A contract wireline operator was injured when a helicopter crushed him between the helicopter body and the logging cabin roof where he was located to hook the load under the helicopter.,HiPo Incident,185
"A leak in a pipeline resulted in a major oil spill. Containment and repair were hindered by community disturbance and the situation was worsed by the outbreak of a fire, source unknown.",HiPo Incident,185
A mud engineer trapped his finger when trying to assist the positioning of a water tank by crane - the lifting crew had been unaware of the location of the Mud Engineer during the lift.,HiPo Incident,185
An electrical power loss cause the plant unit to be tripped. The wet gas pressure went high followed by fuel gas Boil Off Gas (BOG) compressors seal gas pressure high - alarm activated.,HiPo Incident,185
"During a major shutdown, contractors opened the manway door of a reaction vessel. The contractors had been advised that the pressure inside the reactor had been reduced to a safe level.",HiPo Incident,185
"During the process of lowering a fire extinguisher (6 Kg weight) using a canvas bag and rope, the bag snagged tipping the extinguisher out. The extinguisher fell approximately 8 metres.",HiPo Incident,185
One contractor was hospitalised with a broken leg and another treated and released with a broken arm when a steel plate was dropped while mud was being cleaned from bottom of the plate.,HiPo Incident,185
Scaffolding equipment fell from the roof of a building due to stormy weather. The scaffolding equipment hit cars parked below. The scaffolding is in place due to renovation of the roof.,HiPo Incident,185
The piston rod of the B1 compressor was broken. The screws of the cylinder-head roof expanded. Personnel due to hearing the noise stopped the engine. The automatic shutdown didn't work.,HiPo Incident,185
"During drilling operations at a well, a couple of pipes were being lifted when the travelling block hit a cornice of the derrick and a wooden block fell off and hit a worker on the head.",Fatal Incident,186
"A BOP was being lifted using a fork lift truck. As it was lowered, the loop string was detached from the forks and the BOP toppled over striking the IP who was supervising the operation.",HiPo Incident,186
A company vehicle was going towards a well on a gravelled road. All of a sudden the the vehicle went off the road to the left and rolled over in loose sand. No injuries to any occupants.,HiPo Incident,186
"An electrician, employee of a subcontractor had electric shock while he was maintaining the outer security system. He was carried to the hospital. After medical examination he went home.",HiPo Incident,186
"During PM by contractor, two CO2 cylinders on DG-A were found to be weighing 100 and 87 kg. Two cylinders from DG-B were found weighing 104kg and 105kg. Full cylinder should weigh 120Kg.",HiPo Incident,186
"The victim, a labourer, had his fingers amputated when his hand was caught between the roller and the trailer while offloading a spool of electrical cable. He was given a month off work.",HiPo Incident,186
During the fill up operation the injured person was hit by a low pressure ball valve on the end of the mud hose which parted. As a result the injured person suffered fractures to the arm.,HiPo Incident,187
"Loss of control of an exploratory oilwell.  A gas pocket escaped due to the pressure at 500 metres depth, while drilling. Minor environmental and structural damage. No personnel injuries.",HiPo Incident,187
There was a build up of smoke in one of the shafts. All personnel were mustered according to plan. The situation was normalized after one hour. No one was injured. Production was stopped.,HiPo Incident,187
"While picking up a coil of cut off wireline to dispose of in the skip, the loose end of coil sprung and puntured through the glove and penetrated the left hand causing a first aid injury.",HiPo Incident,187
